Report Date,ID,Weights,Position,MKT_val,Name,GICS Sector
2021-10-04,BLI US Equity,0.453092335320941,4653863.0,85724156.46,Berkeley Lights Inc,Health Care
2021-10-04,NTLA US Equity,2.69785755885112,4026102.0,510429211.56,Intellia Therapeutics Inc,Health Care
2021-10-04,TSLA US Equity,10.57922829927859,2561090.0,2001568667.7,Tesla Inc,Consumer Discretionary
2021-10-04,PLTR US Equity,2.91093616288009,23769670.0,550743253.9,Palantir Technologies Inc,Information Technology
2021-10-04,SE US Equity,0.2472824603243841,147170.0,46785343.0,Sea Ltd,Communication Services
2021-10-04,SSYS US Equity,0.4056117238752558,3534819.0,76740920.49,Stratasys Ltd,Information Technology
2021-10-04,DOCU US Equity,1.643509515954788,1261097.0,310948687.29,DocuSign Inc,Information Technology
2021-10-04,NVTA US Equity,2.19246259744055,15641384.0,414809503.68,Invitae Corp,Health Care
2021-10-04,SQ US Equity,3.918590106674921,3276859.0,741389348.75,Block Inc,Information Technology
2021-10-04,EXAS US Equity,3.277720798695079,6653843.0,620138167.6,Exact Sciences Corp,Health Care
2021-10-04,DNA US Equity,0.7084885758591728,11778964.0,134044610.32,Ginkgo Bioworks Holdings Inc,Health Care
2021-10-04,USD Curncy,-1.057093715544135e-10,-0.02,0.0,US DOLLAR,
2021-10-04,DKNG US Equity,2.783901190321496,10868933.0,526708493.18,DraftKings Inc,Consumer Discretionary
2021-10-04,COIN US Equity,5.285453047745483,4360896.0,999997061.76,Coinbase Global Inc,Financials
2021-10-04,IRDM US Equity,1.493405875564184,7331328.0,282549381.12,Iridium Communications Inc,Communication Services
2021-10-04,CGEN US Equity,0.1750802317223866,5475178.0,33124826.9,Compugen Ltd,Health Care
2021-10-04,PRLB US Equity,0.5013667930684444,1462723.0,94857586.55,Proto Labs Inc,Industrials
2021-10-04,TER US Equity,0.0002693118018077461,475.0,50953.25,Teradyne Inc,Information Technology
2021-10-04,SKLZ US Equity,0.5679259824224153,11938939.0,107450451.0,Skillz Inc,Communication Services
2021-10-04,TDOC US Equity,5.609280425331312,8670462.0,1061264548.8,Teladoc Health Inc,Health Care
2021-10-04,DGCXX US Equity,0.4098743875277195,77547407.86,77547407.86,Dreyfus Government Cash Manage,
2021-10-04,NTDOY US Equity,0.009676394326177014,33469.0,1830754.3,Nintendo Co Ltd,Communication Services
2021-10-04,PATH US Equity,3.214045672311212,11842083.0,608090962.05,UiPath Inc,Information Technology
2021-10-04,Z US Equity,3.068445036453092,6799527.0,580543615.26,Zillow Group Inc,Real Estate
2021-10-04,BEAM US Equity,2.173493533384101,4954465.0,411220595.0,Beam Therapeutics Inc,Health Care
2021-10-04,SHOP CN Equity,3.775255730375587,543213.0,714270773.7,Shopify Inc,Information Technology
2021-10-04,TRMB US Equity,0.5830540877952662,1355692.0,110312658.04,Trimble Inc,Information Technology
2021-10-04,TWTR US Equity,2.448443159585155,7933559.0,463240510.01,Twitter Inc,Communication Services
2021-10-04,CERS US Equity,0.3283852736651162,10407007.0,62129831.79,Cerus Corp,Health Care
2021-10-04,TWLO US Equity,3.337532066944171,2016009.0,631454338.98,Twilio Inc,Information Technology
2021-10-04,TWOU US Equity,0.9006216302906245,5019022.0,170395796.9,2U Inc,Consumer Discretionary
2021-10-04,NSTG US Equity,0.1508378016484568,630400.0,28538208.0,NanoString Technologies Inc,Health Care
2021-10-04,VCYT US Equity,0.843595390024092,3694596.0,159606547.2,Veracyte Inc,Health Care
2021-10-04,SPOT US Equity,3.84416841890708,3277495.0,727308915.45,Spotify Technology SA,Communication Services
2021-10-04,IOVA US Equity,0.7352131104978017,5345920.0,139100838.4,Iovance Biotherapeutics Inc,Health Care
2021-10-04,ROKU US Equity,5.473692288913269,3488552.0,1035611546.72,Roku Inc,Communication Services
2021-10-04,HOOD US Equity,1.209506068958542,5590914.0,228836110.02,Robinhood Markets Inc,Financials
