Sector,Stock_Name,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019,5/31/2019,6/28/2019,7/31/2019,8/30/2019,9/30/2019,10/31/2019,11/29/2019,12/31/2019,1/31/2020,2/28/2020,3/31/2020,4/30/2020,5/29/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/30/2020,11/30/2020,12/31/2020,1/29/2021,2/26/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/30/2021,8/31/2021,9/30/2021,10/29/2021,11/30/2021,12/17/2021
Industrials,TUSIMPLE HOLDINGS INC - A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,311,870.00","4,598,923.00","4,717,405.00","4,534,846.00","7,330,906.00","7,024,753.00","7,078,786.00","6,952,765.00","6,886,644.00"
Information Technology,3D SYSTEMS CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,038,385.00","1,555,254.00"
Information Technology,APPLE INC,"65,035.00",,,,"96,093.00","90,478.00","88,756.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,AUTODESK INC,,,,,,,,,,,,"118,221.00","118,543.00","116,611.00","116,772.00","119,831.00","113,027.00","114,400.00","280,573.00","335,365.00","341,428.00","207,033.00","236,173.00","96,863.00",,,,,,,,,,,,,,,,
Information Technology,BLOCK INC,"451,549.00","578,117.00","914,424.00","1,093,546.00","987,364.00","980,253.00","1,070,553.00","1,138,299.00","1,410,787.00","1,306,916.00","1,267,872.00","1,760,441.00","1,881,692.00","1,901,065.00","1,903,690.00","2,015,209.00","2,142,079.00","1,773,075.00","2,740,020.00","3,192,084.00","3,493,237.00","3,632,993.00","3,777,708.00","3,240,121.00","3,506,088.00","3,858,378.00","3,499,724.00","4,287,329.00","4,854,798.00","5,604,246.00","6,325,700.00","4,583,988.00","4,462,568.00","4,577,522.00","4,404,371.00","3,278,931.00","3,261,066.00","3,201,670.00","3,144,697.00","3,338,791.00"
Information Technology,DOCUSIGN INC,,,,,,,,,,,,,,,,,,,,,,,"154,272.00","176,189.00","518,280.00","570,272.00","732,876.00","1,508,469.00","1,884,486.00","2,063,274.00","2,135,472.00","2,363,809.00","2,347,150.00","2,178,567.00","1,763,876.00","1,346,943.00","1,255,011.00","1,186,716.00","1,165,581.00","1,618,766.00"
Information Technology,MATERIALISE NV-ADR,"1,641,024.00","1,610,488.00","1,646,585.00","1,570,255.00","1,654,181.00","1,706,683.00","1,845,770.00","1,882,941.00","1,922,761.00","1,912,143.00","1,901,519.00","1,949,328.00","1,954,642.00","1,922,771.00","1,925,426.00","1,975,890.00","2,044,946.00","2,175,097.00","2,422,951.00","2,840,775.00","3,166,538.00","3,621,843.00","4,028,838.00","4,449,757.00","4,763,006.00","5,241,584.00","5,722,649.00","6,008,935.00","5,967,005.00","5,541,797.00","5,049,377.00","4,710,209.00","4,318,445.00","4,072,176.00","3,692,041.00","3,457,118.00","3,171,285.00","3,093,546.00","3,478,999.00","3,781,789.00"
Information Technology,MGT CAPITAL INVESTMENTS INC,"2,056,858.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,NUTANIX INC - A,,,,,,,,"455,918.00","589,530.00","723,441.00","594,988.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,NVIDIA CORP,"104,402.00","163,220.00","357,918.00","400,324.00","515,869.00","559,155.00","597,855.00","436,668.00","414,554.00","460,011.00","457,455.00","271,661.00","184,654.00","101,837.00","82,165.00","84,319.00","87,257.00","84,229.00","70,047.00",,,,,,,,,,,,,,,,,,,,,
Information Technology,OPERA LTD-ADR,"529,587.00","384,800.00","24,781.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,PAGERDUTY INC,,,,,,,,,,,,,,,,,,"648,611.00","1,635,987.00","2,316,673.00","2,539,640.00","3,091,359.00","3,529,029.00","4,214,507.00","6,688,791.00","7,360,831.00","7,613,933.00","7,555,149.00","7,502,431.00","7,256,748.00","6,612,033.00","6,167,865.00","5,654,848.00","5,756,608.00","5,533,880.00","5,631,743.00","6,823,464.00","6,875,893.00","6,753,530.00","7,004,595.00"
Information Technology,PALANTIR TECHNOLOGIES INC-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,196,826.00","12,433,960.00","14,913,552.00","22,503,091.00","23,082,885.00","22,189,818.00","26,163,200.00","23,655,124.00","23,837,027.00","25,183,485.00","23,241,655.00"
Information Technology,PAYPAL HOLDINGS INC,,,,,,,,,,,,,,,,,"88,405.00",348,,,,,,,,,"587,194.00","1,525,412.00","2,036,638.00","2,438,203.00","75,584.00",,,,,,,,,
Information Technology,PURE STORAGE INC - CLASS A,,,,,,,,,,,,,,,,,"546,616.00","1,396,453.00","2,170,928.00","3,328,583.00","4,213,152.00","5,949,333.00","8,139,992.00","11,930,116.00","14,910,860.00","16,409,047.00","17,915,033.00","21,946,268.00","22,107,524.00","20,485,145.00","17,240,318.00","15,870,566.00","8,580,315.00","7,518,539.00",,,,,,
Information Technology,RED HAT INC,"191,491.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,SALESFORCE.COM INC,"93,451.00","173,996.00","212,367.00","170,629.00","165,988.00","155,291.00","166,001.00","151,135.00","154,330.00","204,500.00","236,179.00","242,119.00","194,239.00","212,812.00","196,858.00","236,165.00","244,420.00","182,273.00",,,,,,,,,,,,,,,,,,,,,,
Information Technology,SHOPIFY INC - CLASS A,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,845.00","305,031.00","448,267.00","529,560.00","624,813.00","698,490.00","725,403.00","747,140.00","674,117.00","571,439.00","540,595.00","515,745.00","506,538.00","430,690.00"
Information Technology,SLACK TECHNOLOGIES INC- CL A,,,,,,,,,,,,,,,,,,,,,,"3,178,601.00","6,318,479.00","7,878,271.00","9,314,576.00","11,710,135.00","13,654,962.00",,,,,,,,,,,,,
Information Technology,SPLUNK INC,"124,064.00","257,208.00","318,275.00","226,856.00","164,120.00","164,388.00","175,728.00","179,256.00","224,134.00","222,900.00","196,132.00","385,810.00","320,190.00","314,970.00","284,222.00","291,670.00","301,862.00","237,374.00","392,325.00","499,739.00","538,814.00","533,429.00","608,432.00","626,516.00","694,022.00","763,758.00","654,553.00","1,053,681.00","1,187,753.00",920,,,,,,,,,,
Information Technology,STRATASYS LTD,"3,986,400.00","3,912,208.00","3,853,462.00","3,874,125.00","4,006,464.00","3,944,329.00","4,389,688.00","4,478,112.00","4,661,673.00","4,769,996.00","4,595,594.00","4,914,843.00","4,928,238.00","4,963,784.00","5,243,419.00","5,380,844.00","5,568,906.00","5,923,309.00","6,552,596.00","7,651,968.00","7,651,968.00","7,651,968.00","7,616,477.00","7,616,477.00","7,525,358.00","7,483,972.00","7,107,018.00","7,052,150.00","7,002,944.00","6,423,870.00","5,668,530.00","5,287,744.00","4,847,943.00","4,571,515.00","4,144,793.00","3,881,101.00","3,560,149.00","3,657,548.00","3,592,448.00","4,093,142.00"
Information Technology,SYNOPSYS INC,,,,,,,,,,,,,,,,,,,,,,,,"253,718.00","402,723.00","491,141.00","536,186.00","656,768.00","855,042.00","936,162.00","918,596.00","874,939.00",,,,,,,,
Information Technology,TAIWAN SEMICONDUCTOR-SP ADR,"344,350.00",,,,,,,,,,,,,,,,,,,,,,"979,808.00","1,264,613.00","1,686,872.00","1,856,428.00","2,026,858.00","2,729,531.00","3,433,557.00","1,927,195.00","55,141.00",,,,,,,,,
Information Technology,TERADYNE INC,"1,023,075.00","1,553,676.00","1,469,490.00","1,529,748.00","1,554,666.00","1,414,342.00","1,087,811.00","786,196.00","687,155.00","683,359.00","622,302.00","481,271.00","482,583.00","396,009.00","357,349.00","366,716.00","315,428.00","335,518.00","473,053.00","889,513.00","1,248,239.00","1,209,404.00","1,407,644.00","1,482,851.00","1,330.00",,,,,"1,079,364.00","1,633,620.00","1,616,844.00","1,930,575.00","1,980,468.00","1,903,801.00","1,769,383.00","16,583.00",,,
Information Technology,TRADE DESK INC/THE -CLASS A,,,,,,,,,,,,"63,649.00","87,603.00","159,121.00","172,245.00","156,114.00","126,060.00","105,680.00",,,,,,,,,,,,,,,,,,,,,,
Information Technology,TRIMBLE INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,431,026.00","1,421,036.00","1,751,648.00","1,683,849.00","1,644,337.00","1,349,164.00","1,359,532.00","1,397,749.00","2,079,474.00"
Information Technology,TWILIO INC - A,,,,,,,,,,,,,,,,,,,,,,,"124,699.00","444,267.00","492,207.00","671,341.00","732,961.00","1,144,374.00","1,325,321.00","1,359,230.00","1,705,081.00","1,752,178.00","2,314,630.00","2,374,398.00","2,282,564.00","2,229,060.00","2,006,302.00","2,131,132.00","2,373,455.00","2,523,501.00"
Information Technology,UIPATH INC - CLASS A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,485,185.00","3,653,242.00","6,074,685.00","8,138,273.00","8,479,234.00","11,785,014.00","12,445,012.00","13,019,736.00","13,988,571.00"
Information Technology,UNITY SOFTWARE INC,,,,,,,,,,,,,,,,,,,,,,,,,"530,471.00","583,821.00","1,128,610.00","1,561,507.00","1,808,214.00","4,307,220.00","5,383,097.00","6,124,003.00","7,594,286.00","7,938,732.00","8,521,637.00","8,321,789.00","7,672,170.00","7,444,541.00","5,821,089.00","5,442,663.00"
Information Technology,XILINX INC,"233,733.00",,,,,,,"70,946.00","146,944.00","212,936.00","249,555.00","389,199.00","423,300.00","493,174.00","493,855.00","554,149.00","642,058.00","722,597.00","807,290.00","1,076,988.00","1,047,536.00","1,117,297.00","996,268.00","1,149,347.00","544,169.00",,,,,,,,,,,,,,,
Information Technology,ZOOM VIDEO COMMUNICATIONS-A,,,,,,,,,,,,,,,,,,,,,,,,,,"203,931.00","257,743.00","696,195.00","1,269,837.00","1,390,269.00","2,250,836.00","2,457,747.00","2,702,033.00","2,880,044.00","2,899,163.00","2,831,139.00","3,307,099.00","3,403,866.00","4,408,765.00","5,018,072.00"
Information Technology,ZSCALER INC,,,,,,,,,,,,,,,,,,,,"379,266.00","415,782.00","478,790.00","546,094.00","599,237.00","633,551.00","671,927.00",,,,,,,,,,,,,,
Real Estate,KE HOLDINGS INC-ADR,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,522,193.00","4,341,380.00","5,388,537.00","5,899,479.00","6,096,924.00","6,265,511.00","2,640,048.00","2,708,060.00",,,,,,
Real Estate,ZILLOW GROUP INC - C,"444,074.00","593,536.00","972,867.00","951,743.00","1,021,448.00","962,796.00","1,029,441.00","1,050,175.00","839,718.00","772,842.00","701,850.00","971,003.00","1,256,072.00","1,339,900.00","1,348,824.00","1,294,279.00","1,292,098.00","763,856.00","1,893,524.00","2,361,249.00","2,923,428.00","2,970,662.00","3,105,737.00","2,986,540.00","2,967,800.00","3,265,978.00","3,436,522.00","4,209,719.00","4,780,089.00","4,992,608.00","6,239,025.00","6,260,458.00","6,387,633.00","6,552,175.00","6,298,654.00","6,585,505.00","6,766,768.00","6,818,798.00",837,
